temperature,Gas1RS/Rmax,Gas2RS/Rmax,Gas3RS/Rmax,Vc
29,100,96,94,5.06
32,100,96,94,5.06
33,99,93,94,5.06
45,100,93,94,5.06
32,100,96,94,5.06
36,100,96,96,5.06
52,100,93,94,5.06
29,100,96,94,5.06
52,99,93,92,5.06
29,100,96,94,5.06
45,100,93,94,5.06
29,100,93,94,5.06
30,100,93,94,5.06
31,99,93,94,5.06
52,100,96,94,5.06
30,99,93,94,5.06
29,99,93,94,5.06
33,100,96,94,5.06
52,99,93,94,5.06
29,100,96,94,5.06
31,100,96,94,5.06
29,97,96,94,5.06
44,100,93,94,5.06
32,100,93,94,5.06
30,99,93,94,5.06
52,100,96,96,5.06
55,99,93,94,5.06
37,100,96,94,5.06
30,100,93,94,5.06
33,99,93,94,5.06
42,100,96,96,5.06
38,100,93,94,5.06
32,100,96,94,5.06
33,100,93,94,5.06
31,99,93,94,5.06
31,100,96,94,5.06
46,100,93,94,5.06
54,99,93,94,5.06
32,100,96,94,5.06
52,100,96,94,5.06
31,99,93,94,5.06
43,100,96,96,5.06
36,100,96,96,5.06
38,100,96,96,5.06
31,100,93,94,5.06
34,99,93,94,5.06
33,100,96,94,5.06
29,100,93,94,5.06
29,99,93,94,5.06
41,100,96,94,5.06
30,100,93,94,5.06
52,99,93,94,5.06
30,100,96,94,5.06
44,100,93,94,5.06
44,99,93,94,5.06
49,100,96,94,5.06
48,97,93,94,5.06
51,100,96,94,5.06
33,100,93,94,5.06
43,99,93,94,5.06
54,100,96,94,5.06
45,100,93,94,5.06
29,100,96,94,5.06
50,100,93,94,5.06
33,99,93,94,5.06
51,100,96,94,5.06
34,99,93,94,5.06
34,100,96,94,5.06
32,100,93,94,5.06
33,99,93,94,5.06
43,100,96,94,5.06
32,100,96,94,5.06
29,100,93,94,5.06
55,99,93,94,5.06
32,100,96,94,5.06
34,99,93,94,5.06
34,100,96,94,5.06
37,100,96,94,5.06
54,99,93,94,5.06
29,100,96,94,5.06
29,99,93,94,5.06
33,100,93,94,5.06
53,100,96,96,5.06
54,99,93,94,5.06
47,100,96,94,5.06
37,99,93,94,5.06
33,99,93,94,5.06
32,100,96,94,5.06
33,99,93,94,5.06
30,99,93,94,5.06
45,100,96,94,5.06
46,99,93,94,5.06
29,99,96,94,5.06
32,100,96,94,5.06
48,99,93,94,5.06
33,100,96,94,5.06
29,100,96,94,5.06
53,99,93,92,5.06
33,99,93,94,5.06
35,99,93,94,5.06
29,99,96,94,5.06
44,99,93,94,5.06
35,99,93,94,5.06
34,100,96,94,5.06
55,99,96,94,5.06
30,99,93,94,5.06
35,99,93,94,5.06
36,100,96,94,5.06
32,99,93,92,5.06
31,99,93,94,5.06
40,99,96,94,5.06
53,99,93,94,5.06
32,99,93,94,5.06
34,99,96,94,5.06
44,99,93,94,5.06
31,99,93,94,5.06
45,99,96,94,5.06
36,99,93,94,5.06
54,99,93,94,5.06
31,99,93,94,5.06
36,99,96,94,5.06
31,99,93,94,5.06
30,99,93,94,5.06
33,99,96,94,5.06
33,99,93,94,5.06
47,99,93,94,5.06
30,99,93,89,5.06
31,99,96,94,5.06
37,99,96,94,5.06
32,99,93,92,5.06
30,99,96,94,5.06
42,99,96,94,5.06
29,99,86,96,5.06
33,99,96,94,5.06
48,99,93,94,5.06
29,99,93,94,5.06
32,99,96,94,5.06
36,99,93,94,5.06
29,99,93,94,5.06
36,99,96,94,5.06
52,99,93,92,5.06
44,99,96,94,5.06
35,99,93,94,5.06
29,99,93,94,5.06
30,99,96,94,5.06
32,99,93,94,5.06
46,99,93,94,5.06
50,99,96,94,5.06
35,100,93,94,5.06
53,99,96,94,5.06
42,99,93,94,5.06
55,99,93,94,5.06
39,99,96,94,5.06
29,99,93,94,5.06
34,99,96,94,5.06
29,99,93,94,5.06
30,99,93,94,5.06
29,99,93,94,5.06
39,99,96,94,5.06
33,99,93,94,5.06
30,99,96,94,5.06
54,99,93,94,5.06
52,99,93,94,5.06
30,99,96,94,5.06
35,99,93,92,5.06
29,99,96,94,5.06
29,99,93,94,5.06
35,99,93,94,5.06
43,99,96,94,5.06
42,99,93,94,5.06
54,99,96,94,5.06
44,99,93,94,5.06
29,99,93,94,5.06
41,99,96,94,5.06
52,97,93,94,5.06
30,99,96,94,5.06
29,99,93,92,5.06
39,99,96,94,5.06
32,99,93,94,5.06
34,99,93,94,5.06
41,99,93,94,5.06
30,99,93,94,5.06
30,99,93,94,5.06
53,99,93,94,5.06
32,99,93,94,5.06
30,99,93,94,5.06
29,99,93,94,5.06
54,99,96,94,5.06
30,99,93,94,5.06
33,99,96,94,5.06
30,99,93,94,5.06
47,99,96,94,5.06
48,99,93,92,5.06
33,99,96,94,5.06
51,99,93,94,5.06
36,99,93,94,5.06
29,99,93,94,5.06
42,99,93,94,5.06
52,99,93,94,5.06
32,99,96,94,5.06
32,99,93,94,5.06
49,99,93,94,5.06
50,99,93,92,5.06
47,99,93,94,5.06
31,99,93,94,5.06
34,99,93,94,5.06
46,99,96,94,5.06
33,99,93,94,5.06
53,99,96,94,5.06
29,99,93,88,5.06
54,99,93,94,5.06
46,99,93,94,5.06
35,99,93,94,5.06
46,99,93,94,5.06
36,99,93,94,5.06
32,99,93,94,5.06
29,99,96,94,5.06
30,99,93,94,5.06
36,99,96,94,5.06
46,99,93,94,5.06
46,99,93,94,5.06
42,99,96,94,5.06
31,99,93,94,5.06
54,99,93,94,5.06
30,99,93,92,5.06
29,99,96,94,5.06
